Listing_ID,Host_Name,Property_Type,Location,Bedrooms,Bathrooms,Accommodates,Review_Score,Number_of_Reviews,Superhost,Host_Experience,Cleaning_Fee,Minimum_Nights,Amenities_Score,Instant_Bookable
996664,Minh Thomas,Villa,Outer Suburb,2,2,5,4.41,34,No,3,45.0,2,5.0,Yes
990068,Mei Lee,Studio,Inner Suburb,1,1,3,4.41,44,No,4,44.0,3,5.0,No
990991,Mei Taylor,Townhouse,Regional,2,1,3,4.12,53,No,5,48.0,2,7.0,No
991378,Michael Patel,Apartment,Outer Suburb,2,3,4,4.54,132,No,3,45.0,2,6.0,Yes
990527,Mei Clark,House,Outer Suburb,3,1,6,4.56,1,No,0,62.0,2,5.0,Yes
991701,Chloe White,Apartment,Regional,1,2,1,4.34,99,No,2,40.0,3,3.0,Yes
992934,Noah Jones,Apartment,Inner Suburb,2,2,4,4.63,150,No,9,58.0,2,7.0,Yes
995566,Emma Clark,Apartment,Outer Suburb,3,2,6,3.64,7,No,1,74.0,2,5.0,Yes
994104,Arjun White,Apartment,Inner Suburb,1,2,1,4.7,25,No,0,63.0,1,,Yes
992727,Omar Wang,Apartment,Inner Suburb,1,2,1,4.58,25,No,7,64.0,3,7.0,Yes
993572,Mia Martin,Apartment,Regional,2,2,6,4.49,72,No,1,74.0,3,7.0,No
991307,Ben Clark,Apartment,Outer Suburb,2,2,4,4.56,34,Yes,2,64.0,1,6.0,Yes
992900,Emma Smith,Apartment,Inner Suburb,1,1,1,3.86,66,No,3,46.0,1,4.0,No
997423,Daniel White,House,Inner Suburb,3,3,7,4.06,22,No,7,83.0,2,6.0,Yes
997559,Omar Clark,Apartment,Outer Suburb,1,1,1,4.46,5,No,0,34.0,1,4.0,Yes
997950,James Patel,Townhouse,CBD,2,2,5,4.25,98,Yes,2,68.0,5,6.0,Yes
995573,Omar Wang,Apartment,Outer Suburb,2,2,5,4.34,65,Yes,3,64.0,3,5.0,Yes
990595,Emma Brown,Studio,CBD,1,2,2,4.0,56,Yes,7,49.0,1,4.0,Yes
997604,Lily White,Apartment,Inner Suburb,2,3,4,4.21,36,Yes,8,69.0,1,6.0,Yes
996107,Daniel Anderson,House,Regional,4,3,8,4.64,75,No,10,102.0,3,8.0,Yes
996540,Lily Young,Studio,Outer Suburb,1,2,2,4.8,9,No,2,50.0,1,5.0,No
995276,Samuel Le,Villa,Outer Suburb,5,2,10,4.8,62,No,12,87.0,1,8.0,No
997420,Lucas Ali,Apartment,Outer Suburb,2,2,6,3.99,37,No,6,67.0,2,7.0,Yes
997338,Daniel Young,House,Regional,4,3,8,4.4,59,No,1,79.0,5,,No
990498,Jack Smith,House,Inner Suburb,3,2,6,3.89,28,No,4,69.0,1,5.0,Yes
994873,Sarah Scott,Townhouse,Regional,2,2,6,,97,Yes,9,,1,7.0,Yes
997135,Arjun Anderson,House,Regional,3,2,6,4.86,49,Yes,2,66.0,3,6.0,No
993190,Sophie Patel,House,Outer Suburb,3,2,6,4.62,13,No,0,78.0,1,6.0,No
996314,Michael White,Villa,Outer Suburb,3,1,8,4.65,16,No,4,59.0,7,8.0,Yes
996047,Ethan Smith,House,Outer Suburb,4,2,8,4.37,19,No,1,89.0,1,8.0,Yes
991067,Noah Lee,Townhouse,CBD,3,2,5,4.25,9,No,2,77.0,1,6.0,Yes
996857,Aisha Khan,Apartment,Inner Suburb,1,1,4,4.65,20,No,5,47.0,1,6.0,Yes
993336,Emma Anderson,Apartment,Inner Suburb,2,1,4,4.86,94,No,2,53.0,1,7.0,Yes
990449,Liam Ali,Apartment,Regional,2,1,3,4.71,14,No,3,68.0,3,7.0,No
990499,Michael Young,House,Outer Suburb,3,3,5,4.49,28,No,6,63.0,7,6.0,Yes
995555,Henry Singh,Townhouse,Outer Suburb,3,2,8,4.85,22,No,9,74.0,3,7.0,No
997355,Mai Chen,Townhouse,Regional,3,2,7,4.24,28,Yes,1,87.0,3,7.0,Yes
991192,Amelia Smith,House,Regional,3,3,6,4.16,14,No,0,72.0,2,5.0,Yes
994264,Chloe Ali,Villa,Regional,4,2,8,4.13,117,No,4,85.0,2,4.0,Yes
997733,Amelia Tran,Townhouse,CBD,2,2,4,4.2,42,Yes,6,44.0,3,4.0,Yes
997990,Mei Wang,Studio,Outer Suburb,1,1,4,4.42,72,No,0,46.0,1,8.0,No
996961,Amelia Ali,Townhouse,Inner Suburb,2,2,5,4.35,14,No,6,68.0,2,5.0,No
994479,Isla Clark,Apartment,Regional,1,2,2,4.49,88,Yes,1,41.0,1,5.0,Yes
990586,Thomas Le,Apartment,Inner Suburb,2,2,6,4.29,66,Yes,9,71.0,1,8.0,Yes
991676,Lily Thomas,Townhouse,Outer Suburb,2,2,4,4.57,29,Yes,2,57.0,3,5.0,Yes
995396,Emma Lee,House,CBD,4,2,8,4.35,17,No,1,90.0,1,5.0,Yes
995829,Liam Walker,House,Outer Suburb,4,3,8,4.71,25,No,1,99.0,2,6.0,No
995459,Thomas Singh,House,CBD,2,2,5,4.49,121,Yes,3,56.0,3,6.0,Yes
993520,An Wilson,Apartment,CBD,2,2,4,4.64,55,No,13,74.0,1,9.0,Yes
993710,Samuel Smith,House,CBD,3,2,5,4.22,167,No,1,64.0,1,7.0,No
995217,Chloe Thomas,Apartment,Inner Suburb,1,1,3,4.31,17,Yes,2,47.0,1,5.0,Yes
993575,Amelia Nguyen,Studio,CBD,1,1,2,4.57,82,No,2,58.0,1,6.0,Yes
993267,Mai Walker,House,Regional,4,3,8,4.15,39,No,5,62.0,1,4.0,Yes
991281,Jack Taylor,House,Outer Suburb,5,2,10,4.08,113,Yes,4,77.0,2,3.0,Yes
992473,Zoe Nguyen,House,Outer Suburb,4,3,7,4.98,52,Yes,0,92.0,4,7.0,Yes
993616,Anna King,Townhouse,Inner Suburb,2,2,3,4.32,8,No,0,56.0,3,5.0,Yes
993329,Noah Khan,Townhouse,Inner Suburb,2,2,4,4.69,50,Yes,6,68.0,3,8.0,No
992541,Oliver Scott,Apartment,CBD,2,2,4,4.66,35,Yes,8,53.0,1,8.0,No
996573,Lucas Lee,House,Outer Suburb,4,3,9,4.59,31,Yes,3,84.0,2,5.0,Yes
996405,William Walker,Studio,Outer Suburb,1,2,2,4.54,40,No,2,81.0,1,6.0,Yes
995706,Mei Young,Townhouse,CBD,2,3,6,4.51,74,No,1,68.0,3,6.0,Yes
996030,Zoe Walker,House,Outer Suburb,5,3,10,4.59,100,No,5,107.0,4,9.0,No
995086,Anna Wang,Studio,Regional,1,2,3,4.43,58,No,7,43.0,1,5.0,Yes
994447,Olivia Taylor,Villa,Regional,5,3,9,4.51,127,Yes,0,112.0,2,8.0,Yes
994273,Hannah Smith,Studio,Inner Suburb,1,1,1,4.67,55,Yes,7,45.0,1,4.0,Yes
997943,Jack Patel,Studio,Outer Suburb,1,1,3,4.39,56,Yes,12,59.0,2,4.0,No
995155,Mia Ali,House,CBD,3,3,8,4.3,36,No,6,77.0,3,7.0,No
990268,Samuel Thomas,House,Inner Suburb,4,4,7,4.57,37,No,1,81.0,1,6.0,Yes
990959,Aisha Nguyen,Townhouse,Outer Suburb,3,2,8,4.72,197,Yes,13,72.0,2,8.0,No
995040,Jack White,House,CBD,2,2,6,4.16,8,No,2,39.0,1,4.0,Yes
994514,Henry Singh,Studio,Regional,1,2,4,4.53,46,Yes,2,42.0,3,5.0,Yes
995687,Daniel Scott,Apartment,Regional,2,2,5,4.71,6,No,1,50.0,3,6.0,No
992014,David Brown,Apartment,CBD,1,1,2,4.7,21,No,3,45.0,2,5.0,No
995678,Priya Lee,Apartment,Outer Suburb,3,2,6,4.7,48,Yes,7,78.0,1,6.0,No
990482,Thomas White,Apartment,Outer Suburb,1,1,4,4.44,22,No,1,50.0,2,6.0,No
997577,Lucas Tran,Townhouse,Outer Suburb,3,3,6,,28,No,7,72.0,3,5.0,Yes
994686,An Tran,Apartment,Inner Suburb,2,3,4,4.57,19,No,1,81.0,3,4.0,No
994050,Hannah Smith,House,Regional,3,3,6,4.83,49,Yes,4,66.0,2,6.0,Yes
992591,Mai Chen,House,Inner Suburb,2,2,6,4.88,32,Yes,4,55.0,14,5.0,Yes
992353,David White,Apartment,CBD,1,1,3,4.49,106,No,4,45.0,1,4.0,No
990934,Linh Clark,Apartment,Inner Suburb,2,2,5,4.81,52,Yes,1,75.0,5,8.0,No
996121,Emily White,Townhouse,Inner Suburb,3,1,5,4.34,5,No,0,76.0,1,6.0,No
993360,Daniel Tran,House,Outer Suburb,3,3,5,4.55,83,Yes,2,77.0,1,5.0,No
992137,Arjun Martin,House,Inner Suburb,4,2,8,4.4,25,No,2,63.0,1,3.0,Yes
991802,Zoe Scott,House,Outer Suburb,5,2,10,4.82,140,Yes,1,88.0,2,7.0,Yes
990954,Emma Taylor,Apartment,Regional,1,2,1,4.77,88,Yes,1,51.0,1,5.0,No
995326,Priya Chen,Townhouse,CBD,2,1,4,4.62,172,Yes,5,50.0,1,5.0,No
997008,Aisha Taylor,Apartment,CBD,2,3,4,3.97,60,No,3,70.0,1,6.0,No
994241,Linh King,Villa,Inner Suburb,2,2,6,4.74,43,Yes,1,56.0,2,6.0,Yes
995942,Chloe Le,Studio,Outer Suburb,1,1,3,4.18,36,No,1,56.0,1,4.0,Yes
993729,Anna Nguyen,House,Inner Suburb,2,2,3,4.21,16,No,2,66.0,1,7.0,Yes
992721,Henry Brown,Apartment,Regional,1,2,2,4.42,26,Yes,0,69.0,3,6.0,No
992793,Thomas White,Apartment,Outer Suburb,2,1,3,4.96,96,Yes,8,55.0,1,8.0,Yes
993288,Samuel Taylor,Apartment,Outer Suburb,1,1,2,5.0,102,Yes,9,49.0,2,6.0,Yes
990628,Jack Anderson,Apartment,Inner Suburb,1,1,1,,35,Yes,0,,3,6.0,Yes
993580,Minh King,Studio,Regional,1,1,1,4.56,12,No,5,48.0,1,4.0,No
995614,Lily Harris,Townhouse,Outer Suburb,2,2,3,4.72,34,No,15,66.0,3,7.0,Yes
992309,Sarah Tran,Townhouse,Inner Suburb,3,2,5,4.25,28,N,7,82.0,1,5.0,Yes
993493,Omar Wang,House,CBD,2,2,4,4.81,34,No,3,51.0,14,7.0,No
994304,Lucas Wang,Apartment,CBD,1,1,4,4.9,45,Yes,4,67.0,5,5.0,Yes
996557,Michael Ali,Villa,Regional,3,3,7,4.54,52,No,1,83.0,2,7.0,Yes
996240,An Taylor,Studio,Regional,1,2,3,4.53,84,Yes,9,36.0,1,3.0,Yes
995236,Lily White,Apartment,CBD,1,1,2,4.19,18,No,4,37.0,1,4.0,Yes
991912,David Nguyen,House,Outer Suburb,5,4,10,4.64,244,Yes,3,125.0,1,8.0,Yes
991389,Arjun Wang,House,Outer Suburb,2,2,6,4.15,20,No,2,58.0,2,2.0,No
996662,Mai Ali,House,Regional,2,2,5,4.16,63,Yes,12,56.0,2,8.0,No
991309,Omar Ali,Apartment,Outer Suburb,1,1,2,4.71,17,No,4,24.0,1,3.0,Yes
993628,David Singh,Townhouse,Outer Suburb,2,2,4,4.39,34,Yes,6,60.0,1,6.0,Yes
996808,Omar Patel,Apartment,CBD,1,2,1,4.48,51,No,1,64.0,7,5.0,Yes
993214,Thomas Thomas,Apartment,Inner Suburb,2,2,3,4.59,0,No,0,53.0,2,4.0,No
992672,Mei Khan,Apartment,Outer Suburb,1,1,4,4.63,17,No,5,57.0,3,5.0,No
996976,Amelia Taylor,House,Inner Suburb,4,3,8,4.2,15,No,3,93.0,5,,Yes
996173,Amelia Walker,Apartment,CBD,2,3,4,4.24,31,No,3,58.0,3,8.0,Yes
990319,Wei Wang,Studio,CBD,1,2,2,4.84,108,Yes,4,50.0,2,4.0,Yes
996140,Jack King,Townhouse,Outer Suburb,3,3,7,4.54,3,No,1,77.0,2,6.0,Yes
993721,Noah Lee,Apartment,Outer Suburb,2,1,4,4.56,6,No,0,45.0,1,7.0,Yes
992724,Isla Martin,House,Inner Suburb,2,2,3,4.35,42,No,7,58.0,3,8.0,No
997392,Anna Smith,House,Inner Suburb,4,2,9,3.55,19,No,3,66.0,1,5.0,No
994322,Mei Harris,Studio,Inner Suburb,1,2,3,3.99,7,No,0,48.0,1,4.0,No
992894,Priya Walker,Townhouse,Outer Suburb,3,2,7,4.31,16,No,1,72.0,5,7.0,Yes
994531,Liam Nguyen,House,Outer Suburb,5,3,10,4.76,132,Yes,2,107.0,4,8.0,Yes
991775,Linh Wilson,Apartment,Outer Suburb,1,1,2,4.7,21,Yes,0,46.0,3,6.0,Yes
996588,Priya Walker,Apartment,Outer Suburb,1,1,4,4.5,131,No,4,52.0,2,6.0,No
992346,Arjun Le,House,Inner Suburb,4,3,8,5.0,1,No,1,93.0,1,10.0,No
994870,Amelia Ali,Apartment,Regional,1,2,4,4.75,52,Yes,0,36.0,10,4.0,No
993007,Ben Chen,Apartment,Inner Suburb,2,2,3,4.5,41,Yes,5,56.0,3,3.0,No
994405,Priya Wang,Apartment,Outer Suburb,2,2,3,4.66,56,Yes,2,68.0,4,6.0,No
992862,Thomas Thomas,Villa,CBD,3,3,7,4.35,34,Yes,5,78.0,1,6.0,Yes
992625,Ben Chen,Apartment,Inner Suburb,2,1,5,4.61,34,No,1,63.0,3,4.0,Yes
995325,Thomas Clark,Apartment,Outer Suburb,1,1,1,4.32,135,Yes,8,34.0,2,3.0,Yes
997233,Oliver Nguyen,Studio,Inner Suburb,1,2,2,4.37,100,Yes,3,48.0,2,3.0,Yes
996400,Isla White,House,Outer Suburb,2,2,4,4.91,21,Yes,1,48.0,2,,No
990546,Olivia Khan,Studio,Inner Suburb,1,2,1,4.44,4,No,1,46.0,3,3.0,No
993797,Michael Wang,Apartment,CBD,3,2,8,4.43,18,Yes,1,76.0,1,5.0,No
995559,Zoe Chen,House,CBD,3,2,6,4.71,61,No,1,88.0,1,7.0,Yes
997844,Olivia Wang,House,Outer Suburb,2,1,4,4.46,36,Yes,5,55.0,1,7.0,Yes
